Model,Threshold,delta,power (W),Hours in Use
Model 2,12,0.2,0.3,12.45808333
Model 2,12,0.2,0.4,9.370027778
Model 2,12,0.2,0.5,7.518333333
Model 2,13,0.2,0.2,16.14405556
Model 2,13,0.2,0.3,10.79597222
Model 2,13,0.2,0.4,8.121611111
Model 2,13,0.2,0.5,6.517888889
Model 2,14,0.2,0.2,13.77616667
Model 2,14,0.2,0.3,9.215277778
Model 2,14,0.2,0.4,6.935277778
Model 2,14,0.2,0.5,5.567166667
Model 2,15,0.2,0.2,11.53375
Model 2,15,0.2,0.3,7.718194444
Model 2,15,0.2,0.4,5.811
Model 2,15,0.2,0.5,4.669083333
Model 2,10,0.4,0.2,24.33802778
Model 2,10,0.4,0.3,16.26258333
Model 2,10,0.4,0.4,12.22372222
Model 2,10,0.4,0.5,9.8005
Model 2,11,0.4,0.2,21.721
Model 2,11,0.4,0.3,14.51708333
Model 2,11,0.4,0.4,10.91413889
Model 2,11,0.4,0.5,8.753833333
Model 2,12,0.4,0.2,19.13866667
Model 2,12,0.4,0.3,12.79502778
Model 2,12,0.4,0.4,9.621277778
Model 2,12,0.4,0.5,7.718916667
Model 2,13,0.4,0.2,16.62633333
Model 2,13,0.4,0.3,11.11783333
Model 2,13,0.4,0.4,8.362444444
Model 2,13,0.4,0.5,6.709916667
Model 2,14,0.4,0.2,14.23269444
Model 2,14,0.4,0.3,9.519888889
Model 2,14,0.4,0.4,7.162833333
Model 2,14,0.4,0.5,5.74975
Model 2,15,0.4,0.2,11.95983333
Model 2,15,0.4,0.3,8.003027778
Model 2,15,0.4,0.4,6.023527778
Model 2,15,0.4,0.5,4.83775
Model 2,10,0.6,0.2,24.86213889
Model 2,10,0.6,0.3,16.61119444
Model 2,10,0.6,0.4,12.48511111
Model 2,10,0.6,0.5,10.00988889
Model 2,11,0.6,0.2,22.23808333
Model 2,11,0.6,0.3,14.86058333
Model 2,11,0.6,0.4,11.17183333
Model 2,11,0.6,0.5,8.960833333
Model 2,12,0.6,0.2,19.64213889
Model 2,12,0.6,0.3,13.12933333
Model 2,12,0.6,0.4,9.873027778
Model 2,12,0.6,0.5,7.92
Model 2,13,0.6,0.2,17.10633333
Model 2,13,0.6,0.3,11.43791667
Model 2,13,0.6,0.4,8.603416667
Model 2,13,0.6,0.5,6.902888889
Model 2,14,0.6,0.2,14.68766667
Model 2,14,0.6,0.3,9.823583333
Model 2,14,0.6,0.4,7.391222222
Model 2,14,0.6,0.5,5.93175
Model 2,15,0.6,0.2,12.38425
Model 2,15,0.6,0.3,8.286277778
Model 2,15,0.6,0.4,6.236916667
Model 2,15,0.6,0.5,5.007722222
Model 2,10,0.8,0.2,25.38411111
Model 2,10,0.8,0.3,16.96033333
Model 2,10,0.8,0.4,12.747
Model 2,10,0.8,0.5,10.21908333
Model 2,11,0.8,0.2,22.75394444
Model 2,11,0.8,0.3,15.20566667
Model 2,11,0.8,0.4,11.43122222
Model 2,11,0.8,0.5,9.167527778
Model 2,12,0.8,0.2,20.14547222
Model 2,12,0.8,0.3,13.46575
Model 2,12,0.8,0.4,10.12547222
Model 2,12,0.8,0.5,8.121305556
Model 2,13,0.8,0.2,17.58691667
Model 2,13,0.8,0.3,11.75866667
Model 2,13,0.8,0.4,8.843861111
Model 2,13,0.8,0.5,7.095361111
Model 2,14,0.8,0.2,15.14269444
Model 2,14,0.8,0.3,10.12680556
Model 2,14,0.8,0.4,7.619166667
Model 2,14,0.8,0.5,6.113805556
Model 2,15,0.8,0.2,12.81080556
Model 2,15,0.8,0.3,8.569138889
Model 2,15,0.8,0.4,6.45
Model 2,15,0.8,0.5,5.177472222
Model 2,10,1,0.2,25.90947222
Model 2,10,1,0.3,17.30980556
Model 2,10,1,0.4,13.01027778
Model 2,10,1,0.5,10.42952778
Model 2,11,1,0.2,23.27105556
Model 2,11,1,0.3,15.54991667
